C;SMD-0805;100nF;['C1\r']
C;SMD-0805;10uF;['C2\r']
LED;LED_1206;LED;['D2\r']
JUMP2_2x1;Straight_2x01;JUMP2_2x1;['J2\r']
Battery;CH28-2032;CH28-2032;['BT1\r']
DIODE;Diode-MiniMELF_Standard;BZV55C;['D1\r']
JUMP_2x1;Straight_2x01;JUMP_2x1;['J3\r', 'J4\r', 'J5\r', 'J6\r']
Crystal;ABS07;ABS07-120-32.768KHZ-T;['Y1\r']
R;SMD-0805;10K;['R2\r', 'R3\r']
R;SMD-0805;1K;['R1\r']
JUMP_5X2;Straight_2x05;JUMP_5X2;['J1\r']
PCF85263A;TSSOP-10_3x3mm_Pitch0.5mm;PCF85263A;['U1\r']
HOLE;MountingHole_3mm;HOLE;['M1\r', 'M3\r', 'M2\r', 'M4\r']
SW_PUSH;SW_PUSH_SMALL;SW_PUSH;['SW1\r']
